

Data Parameters
,charge, 2
,min explained_percent for unmod, 0
,modifications chosen,-17,16,28,43
,MS levels chosen,2
,modified spectra chosen, all ids with best MQScore

LP Parameters
,mass tolerance, 0.40
,bIdx,b,b2,b(iso)
,yIdx,y,y2,y(iso)

Grouping Parameters
,intensity threshold, 5
,bIdx for grouping,b,b2,b(iso)
,yIdx for grouping,y,y2,y(iso)

FDR parameters
,cosine threshold, 0.40
,FDR threshold, 0.01
cosine threshold, 0.40
score threshold, 55

threshold, FDR, k>=1,k=1,k=2,k=3,k=4,k=5
60.000000,0.013847,93.804285,93.804285,0.000000,0.000000,0.000000,0.000000,
55.000000,0.014818,94.672843,94.672843,0.000000,0.000000,0.000000,0.000000,
50.000000,0.017610,95.830921,95.773017,0.057904,0.000000,0.000000,0.000000,
45.000000,0.019647,96.236248,95.946728,0.289519,0.000000,0.000000,0.000000,
40.000000,0.022139,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
39.000000,0.022939,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
38.000000,0.024496,96.873191,96.178344,0.694847,0.000000,0.000000,0.000000,
37.000000,0.025205,96.931094,95.946728,0.984366,0.000000,0.000000,0.000000,
36.000000,0.026500,96.988998,95.946728,1.042270,0.000000,0.000000,0.000000,
35.000000,0.027527,97.104806,96.062536,1.042270,0.000000,0.000000,0.000000,
34.000000,0.028552,97.220614,96.178344,1.042270,0.000000,0.000000,0.000000,
33.000000,0.030331,97.220614,95.946728,1.273885,0.000000,0.000000,0.000000,
32.000000,0.030823,97.336422,96.062536,1.273885,0.000000,0.000000,0.000000,
31.000000,0.032628,97.394325,96.062536,1.331789,0.000000,0.000000,0.000000,
30.000000,0.032872,97.452229,96.120440,1.331789,0.000000,0.000000,0.000000,
25.000000,0.040192,97.683845,95.830921,1.852924,0.000000,0.000000,0.000000,
20.000000,0.047634,97.741749,95.136074,2.605675,0.000000,0.000000,0.000000,
15.000000,0.063909,98.320787,95.020266,3.300521,0.000000,0.000000,0.000000,
10.000000,0.086190,98.784019,94.788651,3.995368,0.000000,0.000000,0.000000,
5.000000,0.131030,98.841922,93.398958,5.442965,0.000000,0.000000,0.000000,



Trivial,  1218
 ,confirmed Inspect, 1074
 ,no assignment, 28
 ,incorrect assignment, 49
 ,rejected, 67
Non Trivial, 619
 ,confirmed Inspect, 538
 ,,not ambigous, 397
 ,, ambigous, 141
 ,different site, 23
 ,mixture, 0
 ,no assignment, 10
 ,incorrect site, 5
 ,rejected, 43
Total, 1837


filename, light/heavy, #MS1, #MS2, #MS3, #MS2_id, #MS3_id, #unmod_ids, #mod, #unmod_uniq, #mod_uniq
spectra_files\lens\mgf\\93S_cat_05_08.mgf,light,0,1422,0,45,0,23,22,20,18,
spectra_files\lens\mgf\\93S_cat_09_12.mgf,light,0,1694,0,88,0,31,57,29,43,
spectra_files\lens\mgf\\93S_cat_13_16.mgf,light,0,1656,0,48,0,20,28,18,20,
spectra_files\lens\mgf\\93S_cat_17_20.mgf,light,0,1709,0,72,0,30,42,25,31,
spectra_files\lens\mgf\\93S_cat_21_24.mgf,light,0,1722,0,85,0,47,38,27,29,
spectra_files\lens\mgf\\93S_cat_25.mgf,light,0,1721,0,101,0,80,21,41,16,
spectra_files\lens\mgf\\93S_cat_26.mgf,light,0,1685,0,180,0,152,28,70,17,
spectra_files\lens\mgf\\93S_cat_27.mgf,light,0,1728,0,332,0,278,54,120,30,
spectra_files\lens\mgf\\93S_cat_28.mgf,light,0,1790,0,475,0,369,106,123,38,
spectra_files\lens\mgf\\93S_cat_29.mgf,light,0,1790,0,462,0,365,97,120,41,
spectra_files\lens\mgf\\93S_cat_30.mgf,light,0,1768,0,457,0,382,75,136,34,
spectra_files\lens\mgf\\93S_cat_31.mgf,light,0,1726,0,368,0,311,57,127,34,
spectra_files\lens\mgf\\93S_cat_32.mgf,light,0,1731,0,350,0,306,44,125,31,
spectra_files\lens\mgf\\93S_cat_33.mgf,light,0,1672,0,236,0,211,25,115,18,
spectra_files\lens\mgf\\93S_cat_34.mgf,light,0,1587,0,189,0,166,23,99,19,
spectra_files\lens\mgf\\93S_cat_35.mgf,light,0,1644,0,189,0,171,18,93,13,
spectra_files\lens\mgf\\93S_cat_36.mgf,light,0,1575,0,216,0,183,33,91,18,
spectra_files\lens\mgf\\93S_cat_37.mgf,light,0,1737,0,223,0,184,39,97,17,
spectra_files\lens\mgf\\93S_cat_38.mgf,light,0,1565,0,183,0,146,37,89,13,
spectra_files\lens\mgf\\93S_cat_39.mgf,light,0,1871,0,271,0,227,44,100,17,
spectra_files\lens\mgf\\93S_cat_40.mgf,light,0,1797,0,303,0,271,32,113,15,
spectra_files\lens\mgf\\93S_cat_41.mgf,light,0,1771,0,390,0,352,38,123,14,
spectra_files\lens\mgf\\93S_cat_42.mgf,light,0,1718,0,420,0,368,52,119,12,
spectra_files\lens\mgf\\93S_cat_43.mgf,light,0,1749,0,368,0,314,54,112,12,
spectra_files\lens\mgf\\93S_cat_44.mgf,light,0,1655,0,310,0,268,42,108,16,
spectra_files\lens\mgf\\93S_cat_45.mgf,light,0,1666,0,328,0,285,43,117,18,
spectra_files\lens\mgf\\93S_cat_46.mgf,light,0,1762,0,315,0,279,36,116,22,
spectra_files\lens\mgf\\93S_cat_47.mgf,light,0,1705,0,271,0,239,32,103,21,
spectra_files\lens\mgf\\93S_cat_48.mgf,light,0,1618,0,258,0,238,20,101,14,
spectra_files\lens\mgf\\93S_cat_49.mgf,light,0,1662,0,251,0,234,17,97,14,
spectra_files\lens\mgf\\93S_cat_50.mgf,light,0,1582,0,191,0,179,12,92,10,
spectra_files\lens\mgf\\93S_cat_51.mgf,light,0,1545,0,168,0,155,13,92,12,
spectra_files\lens\mgf\\93S_cat_53_56.mgf,light,0,1623,0,135,0,126,9,75,9,
spectra_files\lens\mgf\\93S_cat_57_60_1.mgf,light,0,1938,0,134,0,125,9,80,8,
spectra_files\lens\mgf\\93S_cat_57_60_2.mgf,light,0,1961,0,160,0,149,11,84,9,
spectra_files\lens\mgf\\93S_cat_61_65.mgf,light,0,1906,0,179,0,168,11,80,7,
spectra_files\lens\mgf\\93S_cat_66_70.mgf,light,0,1979,0,144,0,139,5,70,4,
spectra_files\lens\mgf\\93y_insol_01_04.mgf,light,0,568,0,81,0,63,18,38,14,
spectra_files\lens\mgf\\93y_insol_05_08.mgf,light,0,519,0,31,0,13,18,12,14,
spectra_files\lens\mgf\\93y_insol_09_12.mgf,light,0,612,0,59,0,24,35,20,23,
spectra_files\lens\mgf\\93y_insol_13_16.mgf,light,0,646,0,54,0,26,28,22,15,
spectra_files\lens\mgf\\93y_insol_17_20.mgf,light,0,651,0,43,0,34,9,20,8,
spectra_files\lens\mgf\\93y_insol_21_24.mgf,light,0,466,0,29,0,26,3,14,2,
spectra_files\lens\mgf\\93y_insol_25_28.mgf,light,0,629,0,103,0,96,7,51,6,
spectra_files\lens\mgf\\93y_insol_29_32.mgf,light,0,730,0,286,0,232,54,72,22,
spectra_files\lens\mgf\\93y_insol_33_34.mgf,light,0,696,0,284,0,227,57,66,28,
spectra_files\lens\mgf\\93y_insol_35_36.mgf,light,0,727,0,270,0,208,62,69,38,
